SPA (AERODROME)     	50.478615, 5.909864
SAINT-HUBERT        	50.038875, 5.403753
BEITEM              	50.90398, 3.121692
ZEEBRUGGE           	51.347375, 3.201846
STABROEK            	51.324802, 4.363798
UCCLE-UKKEL         	50.796862, 4.357871
UCCLE-UKKEL         	50.796862, 4.357871
DIEPENBEEK          	50.915458, 5.450296
BIERSET             	50.645282, 5.458738
SINT-KATELIJNE-WAVER	51.075125, 4.524608
MIDDELKERKE         	51.200341, 2.887306
MELLE               	50.980293, 3.816003
UCCLE-UKKEL (FERME) 	50.796664, 4.357875
DOURBES             	50.095445, 4.59459
ERNAGE              	50.581913, 4.689214
ZAVENTEM/MELSBROEK  	50.896391, 4.526765
GOSSELIES           	50.454432, 4.442053
DEURNE              	51.191399, 4.451755
RETIE               	51.221395, 5.027247
HUMAIN              	50.193663, 5.255236
MONT RIGI           	50.510779, 6.073438
BUZENOL             	49.620358, 5.587229
